panel_num,stitch_num,vertex_num,face_num
10,22,10940,20534
18,56,16476,30598
8,16,10344,19514
18,38,10051,18430
12,25,9030,16810
4,6,5694,10687
10,24,11779,21613
8,26,4919,8834
4,6,13288,25478
2,2,6255,12043
4,14,14000,26908
12,50,17701,33224
8,14,7752,14502
20,68,15651,28510
7,13,11087,21085
10,34,13072,24570
8,16,20100,38613
8,8,9664,18112
8,22,7990,14872
4,6,5545,10397
14,30,31482,60472
2,8,10727,20735
18,50,24069,45618
4,6,2144,3816
28,82,19925,36260
12,32,8785,16018
24,64,29367,55824
4,6,4720,8820
22,60,18813,34950
4,16,10633,20415
30,78,26174,47073
14,44,12487,23102
14,46,30803,59413
6,28,4885,8870
4,14,6602,12428
10,21,8818,16370
4,16,13446,25889
8,24,6711,12466
20,47,6627,11638
14,32,13723,24206
4,14,3301,5978
14,40,10292,18810
6,12,29555,57633
8,20,9450,17654
12,26,20464,38989
14,42,9332,16998
14,30,6713,12042
4,6,49967,98468
20,54,20576,38662
4,14,2771,4954
10,48,14496,27214
4,16,6532,12321
18,53,13532,24995
10,43,12297,22992
19,51,19380,35958
4,6,4201,7794
4,14,5411,10140
12,24,8085,14866
12,24,8242,15234
18,38,10944,20078
14,46,6552,11654
8,13,8358,15754
4,16,12904,24640
6,12,6188,11508
8,26,5173,9338
20,44,41608,80133
20,47,5830,10226
2,2,9717,18874
16,48,15662,29206
4,6,47298,93198
6,12,3269,5814
16,31,11723,21580
2,2,3712,7038
4,6,10169,19590
2,8,6227,11955
6,24,7233,13515
12,32,10824,19967
18,49,24417,45384
16,39,7417,13408
14,43,18381,34849
18,52,7770,13938
14,32,9315,17144
6,24,15365,29444
10,34,8701,15929
12,40,10619,19659
4,16,3602,6528
14,30,14581,27228
26,68,19384,35648
4,16,12888,24638
2,8,10275,19764
16,52,12016,22040
30,78,20648,38166
18,58,26974,50244
16,48,13530,25071
16,36,15383,28794
8,16,6485,12068
6,12,14084,26912
6,12,7925,14875
8,30,19289,36938
6,26,3700,6590
20,42,17277,31980
6,28,19576,37706
6,24,7589,14202
14,43,6604,11750
8,32,16140,30422
9,17,9597,18133
8,26,13400,25248
10,36,6648,11999
4,6,11115,21454
19,36,31283,59431
6,34,10244,19208
18,49,20870,39120
4,6,13796,26753
12,40,12999,24188
10,22,18622,35525
8,14,5869,10854
14,36,15713,27877
8,24,7401,13802
14,50,15291,28608
4,6,4363,8173
16,62,18577,34950
2,8,15089,29224
10,34,14495,27350
14,27,8610,15512
4,16,3831,6958
9,17,7035,12965
16,40,15143,27860
10,24,10830,20040
22,60,23367,43804
4,6,10481,20209
4,6,5375,10160
10,28,5670,10198
6,12,7173,13465
8,20,8767,16142
4,16,4223,7754
10,19,5170,9330
16,40,10597,19472
4,14,3053,5504
14,44,8946,16251
10,34,9569,17835
16,30,19096,35596
12,39,42908,83361
12,23,11423,21302
10,36,22142,42459
18,46,17921,32795
4,6,5844,11082
6,22,6049,11028
12,32,10783,20154
2,8,6207,11879
2,8,11154,21491
6,26,29385,57251
6,26,16792,32294
16,48,9913,17944
18,50,47400,91627
12,32,14970,28212
2,2,2524,4768
2,8,8619,16611
6,26,4602,8291
18,38,13702,25538
14,30,17777,33134
10,28,6741,12271
4,6,2816,5123
20,54,18839,35272
8,30,9396,17618
6,16,9708,18360
10,19,11229,21142
2,8,5596,10596
18,38,15228,28262
8,23,4521,8132
2,8,11615,22383
10,24,9420,17159
8,18,9032,16913
6,24,12363,23476
10,24,14434,26583
12,26,24811,47674
10,37,6404,11603
14,40,5756,10271
20,65,15325,27744
6,34,12878,24304
13,27,19613,37268
8,24,16893,32485
4,6,14126,27426
8,25,5609,10208
4,14,12840,24548
6,26,3532,6274
16,52,9275,16769
20,57,10211,18152
4,6,15380,29866
16,50,10596,19304
6,26,15369,29539
12,32,6709,12100
8,34,6900,12638
2,8,13290,25685
8,16,18930,36210
4,16,3083,5462
16,35,17730,33520
16,32,7579,13704
4,6,11309,21666
8,16,15062,28756
16,36,30848,58877
4,6,16429,31690
12,24,18630,35446
16,32,16358,30832
4,6,18568,36093
20,55,12923,23420
20,55,6832,12044
2,8,12223,23703
8,34,8682,15830
2,8,10304,19899
17,51,75729,147013
4,6,11624,22496
2,2,10165,19751
4,16,3844,6990
10,48,15409,28976
8,16,21926,42114
4,16,3543,6396
6,12,6090,11376
8,20,11011,20553
12,40,10577,19467
8,40,9781,18177
2,8,8541,16372
21,43,9820,18043
15,46,19987,37063
22,56,17895,32585
12,39,9887,18122
6,34,12692,24033
8,13,5960,11168
4,14,3301,5978
6,16,8986,16828
16,32,10486,19498
22,48,33520,63522
12,33,10185,18781
8,16,19602,37554
4,14,11892,22722
8,16,10000,18804
14,40,22386,42184
6,12,12937,24707
23,47,14175,26367
6,26,4298,7766
4,6,5486,10300
8,32,19618,37648
31,65,14024,25123
8,32,7343,13467
13,24,2126,3602
4,6,3339,5964
14,30,16984,31853
31,63,18782,33835
4,6,1829,3046
10,36,13223,25002
22,62,8279,14634
16,31,11401,21130
10,34,9202,17044
8,34,8784,16132
10,35,7593,13798
6,16,8243,15557
4,16,10723,20523
20,41,25400,48084
28,72,34167,63906
11,11,6270,11341
20,53,7424,13138
6,16,7232,13472
12,24,11775,21794
10,35,7831,14314
18,52,14456,26556
4,16,11865,22726
10,27,5817,10544
4,16,14669,27901
2,8,10437,20213
8,22,12282,22920
12,23,9928,18556
4,12,9185,17423
30,93,23718,43714
6,24,7723,14440
12,32,18243,33663
14,28,9367,17387
6,28,4399,7898
12,24,16336,30958
4,6,2936,5201
2,2,6752,12984
14,30,32074,61887
14,52,22583,42769
6,34,9627,17889
14,45,17880,33607
6,12,6785,12738
6,28,19226,37056
8,24,14146,26593
18,38,25459,48356
6,22,6004,10904
18,38,9631,17454
8,32,37678,73386
16,56,17395,32402
20,63,20555,38384
20,43,58980,113942
12,33,9859,18077
4,16,11717,22511
6,12,4542,8300
8,20,9029,16448
14,36,26074,48548
14,30,10549,19432
10,28,10984,20124
4,14,9067,17242
4,6,3168,5758
19,42,18451,34524
4,16,13009,24942
16,50,47148,91426
10,24,17338,32501
20,42,21008,39125
8,30,14363,27390
8,20,13705,25554
14,32,28295,54315
22,74,18147,33502
16,48,13348,24550
20,49,6979,12414
4,6,18856,36730
14,43,7552,13558
8,16,10344,19502
22,74,18851,34933
8,24,7544,14036
16,56,16490,30711
14,60,12922,23784
2,8,11876,23019
14,48,18692,34994
10,21,13367,25131
24,64,23034,42018
6,6,8166,15480
12,48,25132,47726
4,6,4955,9306
2,8,11582,22479
2,8,8957,17226
16,34,21463,40792
10,28,20771,38854
12,26,11802,21922
8,34,40717,79383
4,6,1545,2645
6,24,16257,31086
14,36,16426,30614
4,6,6175,11676
8,20,6934,12529
8,24,4753,8592
6,10,25830,49616
12,50,11754,21778
10,22,10996,20580
25,66,16760,30764
7,7,672,980
16,57,18379,34477
16,50,51658,100372
6,24,8364,15676
4,6,10715,20655
10,38,19872,37674
28,70,31400,58102
10,32,12254,22898
22,48,28551,53959
6,26,4325,7836
14,42,15282,28420
18,52,7995,14362
10,24,13383,24695
14,60,13407,24788
14,44,14361,26882
14,30,21370,40688
4,16,3801,6910
12,26,19098,36438
4,16,4200,7674
6,24,9108,17080
6,24,13461,25542
17,36,25470,48516
12,42,16532,31062
12,50,9960,18254
8,20,10095,18526
10,38,9558,17628
10,32,9116,16989
18,52,9003,16178
4,6,37380,73409
6,26,4549,8268
16,58,21749,40864
30,91,17701,32100
22,60,20772,38562
14,36,6810,12246
24,68,22661,42458
