panel_num,stitch_num
10,38
22,85
9,33
9,34
7,31
10,37
8,38
9,25
18,50
14,45
12,30
8,24
13,56
18,48
13,47
16,42
12,53
9,26
16,58
7,15
21,51
22,111
9,22
11,41
16,35
11,27
8,21
6,19
14,30
22,63
12,27
14,45
17,44
12,50
6,17
7,24
14,41
12,37
11,58
24,85
21,58
19,43
29,88
25,72
17,53
9,44
23,61
17,57
15,56
13,38
6,26
17,38
22,52
10,27
16,37
13,45
8,17
7,20
10,34
18,42
22,67
15,49
9,48
13,47
11,47
12,31
13,39
12,36
22,55
16,45
10,43
17,61
18,56
13,41
12,43
24,85
12,43
11,47
18,43
13,43
14,49
14,48
12,44
13,47
18,53
13,43
10,31
23,105
5,16
10,38
7,17
18,39
8,36
13,52
19,61
6,44
6,15
5,20
9,23
15,54
15,46
9,34
27,84
12,36
10,32
15,54
19,58
12,45
11,36
9,35
19,63
16,43
5,13
14,32
13,40
11,45
19,47
17,56
29,118
18,50
12,47
17,57
14,40
6,21
11,29
14,54
14,42
6,12
11,29
17,52
18,60
8,23
11,39
9,37
16,62
20,47
15,40
10,43
15,39
9,27
11,24
13,57
11,37
12,42
6,28
15,43
13,49
15,52
8,29
16,41
23,59
19,58
6,22
17,107
8,34
22,63
21,61
17,107
13,49
17,75
20,49
13,48
20,43
7,20
8,34
4,26
10,43
12,44
13,49
6,16
11,36
22,55
4,8
9,33
13,42
21,65
18,57
18,54
13,34
10,46
10,27
10,30
8,19
9,21
14,51
14,35
13,46
16,56
18,45
15,57
10,41
21,52
14,50
7,23
13,39
16,58
14,36
14,54
5,16
11,41
15,52
12,49
15,49
9,24
7,19
10,32
11,30
7,22
12,43
13,43
16,63
25,64
7,32
12,30
18,56
19,56
17,55
4,13
18,41
9,28
18,50
12,50
20,58
20,117
14,51
9,25
12,31
9,39
19,59
15,39
17,45
13,48
15,53
17,67
9,20
14,48
21,115
21,67
15,40
5,17
19,47
13,50
15,39
10,41
18,51
16,43
11,31
22,74
15,38
13,37
15,48
17,44
8,35
11,37
13,48
17,58
7,33
10,35
12,31
5,15
11,29
11,33
16,47
14,48
20,57
6,21
4,10
13,41
15,48
22,50
9,27
8,28
13,51
10,38
7,17
27,75
13,37
6,16
10,40
18,46
13,35
23,59
15,51
9,28
13,44
18,49
14,46
14,38
12,42
13,45
12,41
19,63
22,112
10,27
18,54
13,41
7,22
10,32
11,27
6,25
10,34
9,25
17,44
20,65
12,44
14,56
19,58
4,15
13,47
5,12
12,41
14,46
21,54
6,16
16,44
15,41
5,16
18,42
17,44
15,56
12,42
14,57
15,36
15,39
13,46
12,14
13,39
15,28
12,46
5,26
11,30
20,101
10,41
19,110
12,32
12,28
4,67
11,44
22,64
10,30
6,18
23,62
11,35
10,39
12,48
22,60
8,36
14,52
12,42
12,39
22,122
5,14
11,44
14,45
17,47
17,60
7,34
17,52
16,45
18,57
4,10
17,52
21,66
29,87
19,65
10,31
9,36
12,26
14,51
13,33
17,49
13,38
12,33
13,34
14,34
19,47
14,34
11,28
11,36
15,53
16,62
13,35
13,41
14,43
17,59
24,66
8,17
9,27
14,48
19,52
12,42
12,30
9,27
7,28
16,41
10,30
14,40
9,16
2,4
6,22
20,109
18,57
11,31
18,49
16,48
7,22
9,21
11,32
16,56
12,37
10,33
17,45
5,21
18,54
21,64
12,39
15,45
22,56
14,47
14,53
18,47
12,39
12,34
14,51
21,116
12,47
10,35
15,37
13,34
25,69
12,33
10,27
17,65
19,53
22,54
10,26
10,37
12,50
15,56
18,48
8,30
6,20
14,46
19,64
20,56
9,29
11,23
9,36
5,29
20,63
10,28
5,24
11,29
19,73
17,54
21,56
11,31
18,50
11,37
27,72
21,58
17,53
17,54
12,31
14,41
10,38
15,50
12,38
10,33
13,50
10,40
7,22
14,50
17,49
14,55
4,18
14,38
14,32
13,48
9,40
12,45
16,46
9,25
14,40
14,38
13,48
9,24
13,38
3,6
24,73
11,43
13,44
12,48
19,54
14,40
11,33
20,50
9,21
20,66
25,65
14,37
14,48
18,44
16,58
8,23
14,44
18,58
12,45
6,26
7,21
9,18
11,37
4,13
13,49
9,29
14,47
15,54
22,114
9,21
19,63
11,47
11,31
14,38
14,52
11,43
9,29
13,47
15,58
26,115
12,41
9,33
14,48
21,65
23,65
19,39
11,34
3,4
19,51
9,21
25,60
17,49
7,30
15,39
15,98
15,43
25,65
5,13
19,56
15,42
13,47
8,38
16,43
14,45
13,40
10,26
10,38
15,58
14,35
11,44
20,64
14,37
10,44
10,28
12,31
20,54
20,54
20,57
11,37
11,32
7,16
12,29
9,40
14,55
8,41
9,25
20,51
9,24
18,53
10,26
8,34
5,13
17,51
9,26
17,48
10,34
14,32
18,100
12,49
12,37
16,48
6,18
8,27
10,40
12,52
5,20
16,45
9,36
17,44
17,55
20,56
19,59
11,76
15,51
13,66
10,26
14,42
8,23
13,36
13,31
16,44
11,30
8,46
9,26
13,34
19,57
11,45
20,56
7,20
14,34
25,65
10,35
20,51
13,48
9,21
19,47
11,30
10,41
17,51
14,49
13,56
20,49
21,54
18,62
14,64
14,36
26,113
23,73
9,30
17,58
22,67
13,43
16,38
11,29
8,29
16,91
10,26
15,49
11,44
5,21
13,39
15,41
11,22
12,37
7,72
10,34
5,24
14,53
11,26
12,36
17,50
9,25
6,19
7,15
14,50
9,22
13,55
14,34
5,14
16,47
12,45
11,53
22,65
13,62
15,49
15,41
18,57
4,6
21,104
14,53
11,47
12,43
12,27
21,55
4,10
15,45
12,45
15,35
10,29
10,40
9,45
13,38
17,50
8,17
9,31
11,35
12,37
8,28
16,44
16,50
20,48
15,44
12,30
20,62
15,37
13,46
18,53
14,35
20,63
9,24
12,46
11,33
5,26
8,29
13,39
16,55
12,52
12,47
27,88
11,33
9,26
13,48
10,40
12,51
9,26
25,109
12,49
3,5
9,42
13,33
12,37
9,34
9,33
5,16
16,46
13,49
14,35
12,38
21,68
19,53
15,61
8,28
20,63
2,10
21,67
13,50
9,37
10,23
10,33
12,45
20,65
14,34
13,50
20,44
17,55
21,49
20,62
12,53
10,29
17,78
11,40
11,31
10,40
20,49
10,29
5,33
11,43
12,37
9,71
6,8
19,48
9,25
13,48
17,52
22,124
11,45
9,24
12,46
9,27
11,29
13,52
13,56
12,30
11,28
12,45
6,15
7,20
9,26
11,43
9,30
13,44
14,40
13,44
15,52
8,33
12,36
11,43
13,45
22,54
9,35
6,16
20,60
13,46
11,25
15,66
18,48
13,34
13,48
15,43
23,62
10,31
18,64
12,52
13,35
11,29
18,42
9,33
18,56
19,105
23,83
13,51
9,25
5,11
10,38
9,24
15,34
21,54
16,49
22,55
19,49
14,44
15,51
13,39
12,44
11,32
10,39
10,40
9,27
9,21
9,29
10,48
7,36
8,26
16,43
14,49
11,41
10,31
7,19
3,7
8,26
12,48
20,47
7,24
24,84
11,34
16,58
10,46
4,10
13,60
20,60
6,34
16,48
13,49
12,41
15,56
14,42
10,32
18,44
13,46
15,55
9,33
19,60
22,68
8,29
27,76
18,51
14,38
7,20
16,49
20,49
13,34
16,43
16,50
16,49
18,57
13,45
17,52
18,46
10,53
9,23
14,49
26,110
10,38
15,39
22,71
18,49
18,55
6,24
10,40
12,31
8,18
15,52
13,39
9,31
13,31
12,47
13,52
18,49
14,48
9,34
4,18
15,47
2,8
11,34
14,50
8,37
5,10
9,24
8,28
9,47
20,48
18,50
16,40
13,43
8,32
13,89
12,37
6,19
19,51
16,43
11,30
15,41
16,49
13,63
10,29
8,27
3,8
14,36
17,35
10,44
16,49
11,35
12,38
7,25
14,32
12,50
14,50
12,39
8,22
5,18
14,48
20,60
11,31
12,117
15,40
21,67
24,56
16,58
7,33
15,36
15,49
16,47
14,41
13,48
15,28
17,46
18,50
19,58
17,47
5,14
18,47
21,60
11,27
11,31
6,15
14,39
9,23
22,117
13,49
18,47
7,24
23,115
12,52
12,37
12,32
13,57
15,52
16,60
20,47
14,46
9,17
21,63
17,44
18,44
6,19
20,53
9,33
5,25
5,15
11,42
15,38
19,59
19,64
11,38
7,23
27,72
8,23
16,45
16,49
15,126
13,108
15,41
10,40
6,24
11,33
11,39
8,38
17,46
14,48
15,36
10,35
11,30
13,35
22,64
11,40
9,38
7,32
21,103
13,43
21,70
15,57
21,100
10,35
20,56
11,67
12,46
13,34
11,23
20,62
15,56
10,45
9,24
14,42
11,33
8,46
9,36
17,51
8,30
5,18
14,45
15,41
17,43
14,38
9,21
12,38
9,31
9,22
12,48
14,53
13,52
14,46
19,61
6,24
5,22
6,20
9,28
12,43
9,33
17,64
7,24
9,36
12,46
14,50
16,44
20,110
19,57
10,46
12,49
11,44
9,20
16,44
17,42
11,30
15,49
17,115
13,48
12,46
10,32
12,35
8,12
8,26
24,67
10,38
14,39
18,50
8,30
11,45
12,31
16,53
12,67
19,51
10,23
11,40
19,58
17,45
18,53
12,27
15,58
29,129
11,33
20,53
13,49
8,21
9,22
21,62
14,41
15,39
12,48
12,33
8,28
20,51
15,48
19,62
7,27
14,54
6,24
10,21
3,7
20,58
6,22
19,57
10,37
9,20
10,27
19,47
14,50
19,56
8,24
14,47
17,58
13,29
9,41
8,29
18,35
15,47
13,31
22,74
13,44
14,33
9,31
12,33
12,31
13,48
18,57
21,51
10,29
16,52
14,46
10,36
11,27
16,50
15,51
15,50
15,47
17,38
15,56
9,20
15,49
11,29
9,29
11,34
9,30
12,34
13,49
16,44
8,53
10,22
9,25
19,70
9,22
20,52
17,48
8,24
9,22
13,85
24,70
11,45
2,10
13,44
10,42
12,42
15,43
22,62
9,37
5,7
8,19
15,48
11,31
9,27
6,23
20,55
18,57
20,48
11,28
18,50
9,32
9,24
19,51
15,56
15,42
6,16
18,35
17,55
4,14
19,58
14,48
2,3
7,27
18,97
23,55
10,20
11,30
16,42
9,24
10,45
9,40
7,23
5,39
7,23
14,30
16,57
13,36
7,15
9,36
12,45
19,48
16,48
10,43
16,35
8,28
14,46
13,43
9,40
14,41
9,33
16,64
8,35
9,22
23,71
17,63
15,46
16,47
11,25
5,22
24,63
20,56
10,29
13,49
16,50
31,76
6,24
8,29
15,84
20,51
5,17
23,71
20,50
12,31
11,32
15,45
16,41
12,42
17,53
15,51
17,46
10,25
26,66
13,38
17,46
15,44
16,55
17,70
18,46
15,39
18,50
19,55
15,56
21,55
14,44
13,52
15,50
16,44
13,46
7,19
7,20
9,19
16,50
8,26
12,38
11,33
8,32
11,38
14,49
20,51
15,47
11,35
17,55
12,42
9,26
9,20
20,56
18,48
10,25
12,44
13,39
9,35
29,89
16,58
8,18
8,18
14,36
13,28
14,38
21,53
13,38
5,15
7,46
11,31
21,49
10,25
13,26
6,15
15,52
14,55
13,37
18,67
12,47
20,56
18,55
8,28
22,104
15,48
22,50
19,81
20,64
9,26
13,24
10,43
6,21
10,34
18,43
11,27
15,57
22,68
12,40
10,37
30,92
16,51
22,63
8,39
18,54
13,43
15,48
22,117
13,49
9,24
12,41
19,47
10,29
15,44
19,106
5,15
10,28
7,30
21,55
9,23
11,28
10,31
10,113
12,51
14,38
9,38
5,23
13,30
14,42
18,47
10,19
9,22
22,66
8,28
18,77
9,26
13,20
12,44
10,29
10,28
10,28
22,58
24,57
16,44
16,49
10,41
8,21
11,29
7,17
10,101
5,19
14,83
12,33
10,23
8,22
10,45
14,32
13,35
15,44
10,39
20,56
17,58
12,40
12,41
11,52
10,25
17,62
19,54
8,23
10,31
11,34
15,43
10,54
7,24
30,89
15,53
11,35
20,59
20,56
22,63
12,42
22,67
12,54
14,35
10,34
10,36
18,53
9,21
21,64
9,36
20,55
17,49
16,60
6,18
8,37
20,62
12,30
17,55
20,56
18,50
14,36
10,25
23,66
6,20
24,79
22,111
8,38
11,31
17,63
13,30
9,26
20,57
20,113
14,52
9,27
13,51
11,27
22,71
16,52
29,83
14,45
10,44
14,52
10,50
10,45
13,34
8,23
15,45
13,44
13,48
13,54
17,50
13,46
20,51
22,60
10,23
19,61
23,61
8,38
12,26
9,36
8,39
18,62
14,46
16,44
17,53
14,47
17,56
13,51
15,31
10,31
10,36
14,46
13,30
14,34
15,41
19,53
21,64
14,40
16,37
22,71
19,70
10,38
13,47
7,24
11,28
18,56
7,19
9,23
9,32
2,8
21,62
9,30
11,52
6,10
15,48
22,52
11,31
5,14
17,55
22,52
22,122
29,88
20,59
15,52
13,53
16,50
7,21
21,49
10,32
14,44
17,58
12,53
21,55
12,45
15,37
11,38
21,55
8,22
20,56
12,38
13,36
10,33
7,18
14,83
17,52
14,33
15,45
19,63
14,47
9,37
10,40
14,46
7,18
25,59
10,31
16,32
16,50
11,39
23,73
11,31
10,18
14,45
8,31
9,29
22,60
7,21
9,24
10,27
11,44
16,43
14,45
14,53
15,22
12,35
18,35
18,65
18,56
23,72
11,47
13,44
12,33
12,44
8,27
14,36
7,24
15,40
18,58
16,47
22,111
10,33
10,30
17,60
9,24
8,52
14,40
14,41
20,60
14,40
19,45
11,42
17,48
14,49
19,47
10,36
8,38
11,40
22,59
16,65
30,69
19,51
10,27
12,59
7,22
12,49
9,20
15,46
7,31
14,47
10,45
12,34
10,44
12,51
7,28
14,37
11,31
14,52
11,28
9,52
12,41
9,103
11,28
16,57
10,35
15,47
8,34
13,47
14,40
14,45
19,49
27,82
11,27
15,48
8,20
13,44
14,58
10,43
9,30
16,58
20,48
6,15
13,36
18,51
14,39
10,45
15,48
9,33
12,33
15,43
18,57
3,6
14,50
16,55
19,45
6,13
18,61
12,36
10,33
14,54
21,56
9,27
11,43
16,52
10,44
17,45
16,50
12,41
14,46
18,59
16,42
13,63
20,47
22,56
10,41
12,45
16,61
7,32
14,50
9,27
15,88
8,19
7,16
11,29
17,57
12,40
14,49
17,68
9,29
2,4
21,70
18,49
18,38
20,54
16,54
13,64
22,69
24,65
17,63
12,47
9,33
18,58
14,47
11,37
16,54
11,44
9,23
16,37
16,37
12,42
18,56
5,18
9,38
9,22
4,15
7,30
12,45
12,30
20,58
8,26
15,46
16,49
20,56
14,49
14,46
19,86
13,35
12,53
5,29
8,29
12,45
16,42
14,38
5,14
20,49
12,38
10,23
15,57
12,36
21,49
11,43
12,37
11,48
7,25
14,39
12,31
17,59
18,39
7,20
25,72
17,36
18,45
6,15
17,57
7,20
7,19
6,22
9,32
18,58
16,52
13,34
17,43
17,42
13,35
4,10
12,29
14,37
14,46
16,53
8,36
12,44
11,49
9,29
15,35
20,65
10,41
13,41
14,29
16,50
15,44
7,40
9,28
11,32
16,53
9,32
18,48
7,19
6,18
17,59
13,38
4,10
17,59
15,47
7,33
12,30
15,59
24,60
9,39
14,56
17,102
14,36
9,35
15,67
10,23
6,17
13,44
9,22
12,40
11,26
12,35
16,32
21,60
18,59
11,26
18,57
15,50
8,26
19,47
9,32
19,60
18,105
9,20
16,44
17,59
12,50
8,38
7,23
17,41
11,37
12,32
22,64
11,32
11,29
9,31
9,32
14,30
12,52
13,36
16,55
26,120
7,21
14,45
7,17
22,71
13,35
10,34
12,75
17,51
10,23
17,43
11,37
14,48
18,47
8,24
14,53
10,20
17,58
13,36
10,38
8,28
24,60
10,32
7,19
18,38
17,49
13,56
10,29
15,41
17,59
18,48
14,55
14,53
11,38
6,16
12,88
16,50
12,47
6,32
14,48
21,63
11,24
19,59
12,56
14,37
13,39
9,25
8,21
13,45
23,66
15,46
3,7
14,44
20,46
15,58
9,25
18,50
16,53
9,43
9,32
5,17
10,45
10,45
23,84
18,47
16,52
10,33
13,34
15,60
5,19
17,42
23,118
16,45
14,49
9,30
14,35
5,13
19,56
7,20
15,57
10,30
11,37
9,34
21,46
7,26
21,120
13,45
14,39
14,46
14,45
20,52
19,51
20,50
16,46
13,41
7,31
10,27
16,47
9,22
13,47
17,49
13,43
10,28
24,72
12,40
11,31
12,47
13,51
6,28
11,36
8,24
14,57
8,30
6,22
6,17
19,45
11,41
8,20
11,47
13,50
13,42
14,44
14,44
17,67
21,67
14,51
11,39
13,39
12,46
15,56
14,37
21,67
11,38
12,39
22,54
13,27
15,47
11,28
13,40
17,56
16,60
20,60
18,42
13,35
17,49
2,8
13,43
11,33
7,20
19,55
8,27
11,45
13,45
14,34
20,63
11,39
21,66
16,39
10,30
10,35
20,51
18,60
8,27
16,47
13,44
9,33
10,39
15,63
10,26
8,38
10,28
11,44
16,51
9,40
17,53
19,55
16,52
20,50
22,63
14,55
10,40
13,47
16,48
11,27
12,45
12,45
19,57
9,41
11,48
15,42
9,22
10,29
17,55
18,50
13,48
6,18
10,26
16,51
8,19
5,13
14,52
20,104
22,59
7,23
12,39
10,31
11,35
16,47
22,73
12,36
20,62
12,50
14,45
8,28
11,36
12,51
16,39
6,19
6,33
18,50
14,36
17,44
17,107
10,37
11,44
14,47
20,65
28,86
10,40
14,83
8,25
10,40
10,21
12,42
11,46
9,36
20,58
8,26
20,59
9,30
18,59
8,30
19,57
17,51
9,18
9,32
20,63
8,32
12,50
10,35
24,74
17,45
9,28
18,50
15,48
4,6
21,73
14,50
15,56
15,48
12,46
16,36
8,34
15,50
21,67
14,32
10,25
11,37
7,16
8,34
15,45
15,36
10,20
8,29
12,35
15,53
9,30
12,31
13,46
15,37
20,62
14,34
13,32
14,50
20,75
18,38
6,27
4,14
20,56
18,52
16,25
6,17
10,33
12,38
10,46
13,48
16,46
7,21
15,54
8,27
10,34
18,56
20,61
8,24
8,25
9,25
7,23
19,51
14,32
12,33
13,30
10,26
8,39
8,31
12,44
15,46
7,31
5,13
6,14
19,60
11,34
17,49
12,52
9,25
6,16
17,59
14,46
16,70
10,33
10,40
16,44
7,15
20,61
10,42
14,48
19,53
16,61
19,46
9,15
9,36
10,30
12,48
16,56
16,56
14,47
8,24
18,53
17,42
12,39
10,28
11,56
20,45
12,39
8,25
11,30
9,41
6,20
13,35
9,29
14,99
12,42
14,60
10,30
12,28
7,28
11,27
20,42
9,34
19,51
17,49
20,56
11,34
20,61
8,34
22,60
18,44
11,32
9,33
13,41
20,60
16,52
18,63
12,35
15,39
16,52
19,43
12,33
27,74
13,43
5,11
20,57
11,45
20,63
15,45
8,28
11,50
16,56
14,31
17,43
12,53
24,75
9,31
12,32
12,41
7,17
17,72
15,41
7,18
15,53
9,33
13,43
16,46
9,35
20,48
10,35
15,47
10,26
17,54
25,63
13,50
14,45
18,56
5,18
8,27
15,38
20,52
10,25
16,52
20,68
18,41
8,23
9,29
11,37
16,44
12,35
7,24
15,43
18,53
10,38
14,34
10,34
15,35
20,113
15,48
13,107
13,46
10,30
9,22
14,53
12,41
13,50
5,13
12,32
12,33
17,53
12,31
12,48
17,55
18,56
7,31
17,58
20,56
16,45
6,25
5,17
18,66
13,44
14,44
22,64
9,41
12,70
12,48
20,49
18,54
9,35
20,48
22,111
15,48
22,51
13,35
8,21
9,35
11,37
20,68
16,58
27,84
5,19
16,61
17,74
8,22
14,56
14,41
9,40
7,27
7,12
18,49
14,40
6,12
17,43
15,41
15,40
16,46
15,43
12,43
27,65
11,28
14,46
13,30
9,34
17,38
9,20
17,54
14,44
20,68
10,36
11,32
5,13
6,17
11,41
22,51
10,31
22,63
21,62
6,15
8,22
21,104
20,63
17,38
13,95
18,55
11,28
22,57
15,40
17,43
11,32
10,28
13,33
14,43
8,39
9,37
21,74
21,52
16,53
16,49
10,28
8,26
14,44
17,52
12,23
13,35
8,20
18,35
13,54
8,29
13,34
10,28
9,24
15,49
5,13
7,19
10,40
20,61
16,42
17,59
17,75
16,49
10,44
15,49
8,38
4,12
11,28
14,57
12,48
16,39
10,27
24,62
12,33
5,13
7,33
16,42
13,47
19,62
6,28
14,46
14,57
21,66
16,53
15,63
10,25
22,55
11,28
20,51
17,42
13,38
19,55
12,33
11,31
15,41
6,16
16,52
16,54
13,47
9,35
15,53
13,45
16,47
11,68
12,39
14,41
13,47
15,42
11,44
22,68
10,42
15,36
10,20
