vertex_num,face_num
24026,45254
17550,32219
20684,38291
19350,36558
15488,29431
11154,21491
530,680
14204,25992
16863,32622
14019,26446
21276,40252
18600,35114
7052,12958
13386,25281
11654,21636
24138,45681
13578,25705
20893,39065
33478,65125
10290,19896
3640,6358
10072,18816
20153,38278
14166,27467
28562,54332
24935,47850
12080,23386
7004,13204
7126,13033
11549,21342
9466,17238
464,652
9314,17554
27326,50489
13151,23233
6832,12060
12417,23370
23051,43365
19658,36880
11345,20786
12705,22946
5929,11304
7440,14076
19866,38709
29054,56637
20628,38816
12812,24718
8818,16370
2757,5009
8791,16879
8816,16832
17897,32656
9011,16784
9975,18262
15527,30116
3301,5978
8391,16035
13740,26606
16787,32618
13982,24982
7330,13230
14581,27228
13963,25985
6903,12772
10953,20380
16887,32202
13838,25542
15503,29612
12471,23514
21391,39796
6394,12171
18578,34728
17028,31929
30804,59028
24126,44686
16498,31305
26028,50636
9413,16963
14602,27184
3493,6294
21944,41394
29756,53203
6684,11918
12227,22921
5993,11366
9572,17937
19589,37158
34738,67426
3648,6584
12747,23936
7232,13472
21646,39902
7249,13100
8539,15637
8614,16166
26239,50586
13104,23761
19941,38507
13448,25375
22181,41624
13571,26251
17924,34266
7659,14346
4304,7798
8907,17229
4279,7714
17944,33220
18926,35298
16605,32192
15819,30563
5083,9554
4639,8677
9769,17773
24957,48075
18673,35691
1718,3000
10774,19848
9112,16648
9784,18130
13239,25218
9929,19236
10537,20332
3558,6318
12547,23322
6014,11070
5020,8954
21769,40349
5224,9763
6811,12134
11819,21586
4333,8068
10413,19938
17576,33190
9065,16627
10815,19966
19560,35519
6904,12778
29856,57026
15885,29076
14755,27816
3330,5956
3920,7012
10512,19888
10626,20317
17664,33377
6969,13379
3762,6826
4798,8986
14819,27864
24957,48075
16900,31876
9654,17498
2738,4888
11102,20291
11700,21454
9177,17447
3975,7236
11383,21200
12705,23400
10285,19164
4552,8216
13313,24677
10780,20965
45290,87234
42621,82494
9685,17330
13150,25222
12588,23552
2886,5245
4435,7896
21900,41372
28996,54582
11169,21036
4197,7490
7605,13748
8825,16483
18432,34626
8067,14718
10117,18822
8878,17202
705,1194
20637,38922
16580,29950
9929,19236
48743,93916
3972,7114
12931,24356
11386,21576
8947,16202
34519,64441
12648,23974
10060,18112
6389,11214
9545,17404
18689,36414
9134,16686
12194,22146
5351,9523
8847,16174
16777,31678
10803,19592
10053,18675
12138,23546
23394,44734
16767,30115
8507,15410
40095,77048
3822,7060
24366,45006
5560,10120
14920,27008
6602,12412
5269,9580
13238,24365
21755,42441
20143,38313
6999,13092
11681,20939
20904,38291
14178,26242
12077,22910
14231,26446
9627,17664
9929,18910
4817,8740
20918,37962
18634,35189
17137,32380
40934,79164
10227,18986
19034,35776
23634,44672
24021,45376
16790,31833
7792,14482
13803,25754
3349,5918
8687,15909
11019,20375
33333,64416
10406,19278
11333,21252
14472,27314
2610,4650
18803,35324
15083,28082
24169,46267
20564,39029
16765,31408
4067,7442
11015,20916
15065,28754
19516,36692
18355,33550
39367,73063
12891,24765
21133,39676
14096,27064
30253,58667
4760,8372
14859,28084
11608,21620
18900,35110
4619,8647
8035,14986
5599,10620
22653,42028
10719,19598
22776,43218
7739,14047
11199,20892
5061,9401
15446,29712
8775,16071
16044,30344
17583,31423
10989,20523
7497,14330
11571,21944
20391,38695
10674,20221
10088,19384
17855,32562
6819,12970
